Country,Category,HS_Code,Year,CIF_Value_USD,Net_Weight_Kg,Quantity
Brazil,Hybrid,870340,2021,57758482.0,3362154.0,1918.0
Brazil,Hybrid,870340,2021,57898588.0,3365588.0,1920.0
Brazil,Hybrid,870340,2021,140106.0,3434.0,2.0
Brazil,Hybrid,870340,2022,193206227.0,12688504.0,7861.0
Brazil,Hybrid,870340,2023,489087723.0,32518035.0,20418.0
Brazil,Hybrid,870340,2024,784031225.0,49857192.0,30062.0
Brazil,Hybrid,870340,2025,13615976.0,889234.0,739.0
Brazil,Hybrid,870340,2025,1021692997.0,76673774.0,45767.0
Brazil,Hybrid,870340,2025,1035308973.0,77563008.0,46506.0
Brazil,Combustion_pickup,870421,2021,898876695.0,73597259.0,35473.0
Brazil,Combustion_pickup,870421,2021,2624403863.0,233591881.0,110419.0
Brazil,Combustion_pickup,870421,2021,1725527168.0,159994622.0,74946.0
Brazil,Combustion_pickup,870421,2022,1180167700.0,87414058.0,42089.0
Brazil,Combustion_pickup,870421,2022,1658254225.0,139285650.0,0.0
Brazil,Combustion_pickup,870421,2022,2838421925.0,226699708.0,0.0
Brazil,Combustion_pickup,870421,2023,1095226885.0,81884364.0,39616.0
Brazil,Combustion_pickup,870421,2023,1716542467.0,132642269.0,60670.0
Brazil,Combustion_pickup,870421,2023,2812047512.0,214530698.0,100288.0
Brazil,Combustion_pickup,870421,2023,278160.0,4065.0,2.0
Brazil,Combustion_pickup,870421,2024,1143675915.0,86897556.0,42010.0
Brazil,Combustion_pickup,870421,2024,2390826151.0,179530618.0,82142.0
Brazil,Combustion_pickup,870421,2024,3534573526.0,266430413.0,124153.0
Brazil,Combustion_pickup,870421,2024,71460.0,2239.0,1.0
Brazil,Combustion_pickup,870421,2025,1351358971.0,96259791.0,46012.0
Brazil,Combustion_pickup,870421,2025,2284396837.0,174086221.0,80211.0
Brazil,Combustion_pickup,870421,2025,3635755808.0,270346012.0,126223.0
Brazil,Lithium_battery,850760,2021,567.0,8.668,5.0
Brazil,Lithium_battery,850760,2021,474389332.0,8083801.524,77611987.714
Brazil,Lithium_battery,850760,2021,269302319.0,2830475.762,45509235.714
Brazil,Lithium_battery,850760,2021,50765.0,149.204,243.0
Brazil,Lithium_battery,850760,2021,205035681.0,5253167.889,32102504.0
Brazil,Lithium_battery,850760,2022,14074.0,36.13,397.0
Brazil,Lithium_battery,850760,2022,37683.0,1405.0,28.0
Brazil,Lithium_battery,850760,2022,287941011.0,2564728.002,39281807.0
Brazil,Lithium_battery,850760,2022,287914415.0,7933996.514,29299149.0
Brazil,Lithium_battery,850760,2022,575910113.0,10500169.646,68581383.0
Brazil,Lithium_battery,850760,2022,2930.0,4.0,2.0
Brazil,Lithium_battery,850760,2023,38334.0,52.682,1035.0
Brazil,Lithium_battery,850760,2023,246727708.0,2288648.591,34346605.0
Brazil,Lithium_battery,850760,2023,328632723.0,11128815.638,23889048.0
Brazil,Lithium_battery,850760,2023,575423155.0,13418221.91,58236689.0
Brazil,Lithium_battery,850760,2023,24390.0,705.0,1.0
Brazil,Lithium_battery,850760,2024,27969.0,102.161,550.0
Brazil,Lithium_battery,850760,2024,525672.0,5412.0,338.0
Brazil,Lithium_battery,850760,2024,409636560.0,18285030.569,28893051.0
Brazil,Lithium_battery,850760,2024,265374296.0,3102778.239,49194289.0
Brazil,Lithium_battery,850760,2024,675564497.0,21393322.968,78088228.0
Brazil,Lithium_battery,850760,2025,105593.0,17420.959,467.0
Brazil,Lithium_battery,850760,2025,127287.0,672.792,3143.0
Brazil,Lithium_battery,850760,2025,448641372.0,23140006.528,34349814.0
Brazil,Lithium_battery,850760,2025,203231386.0,2388923.047,38389308.0
Brazil,Lithium_battery,850760,2025,652168571.0,25548662.284,72742736.0
Brazil,Lithium_battery,850760,2025,62933.0,1638.958,4.0
Brazil,General_auto_parts,8708,2021,1161.0,30.0,30.0
Brazil,General_auto_parts,8708,2021,526782748.0,17409511.339,17409511.339
Brazil,General_auto_parts,8708,2021,6697241746.0,764940503.687,764940503.687
Brazil,General_auto_parts,8708,2021,438057924.0,39593184.0,39593184.0
Brazil,General_auto_parts,8708,2021,7662083579.0,821943229.026,821943229.026
Brazil,General_auto_parts,8708,2022,462369797.0,42966929.591,42966929.591
Brazil,General_auto_parts,8708,2022,7184761838.0,791387789.078,791387789.078
Brazil,General_auto_parts,8708,2022,557230319.0,18493346.42,18493346.42
Brazil,General_auto_parts,8708,2022,8204361954.0,852848065.089,852848065.089
Brazil,General_auto_parts,8708,2023,431247565.0,35518709.252,35518709.252
Brazil,General_auto_parts,8708,2023,145625.0,12485.861,12485.861
Brazil,General_auto_parts,8708,2023,35167.0,5012.686,5012.686
Brazil,General_auto_parts,8708,2023,6803543267.0,734522046.026,734522046.026
Brazil,General_auto_parts,8708,2023,359688777.0,13042543.644,13042543.644
Brazil,General_auto_parts,8708,2023,7594660401.0,783100797.469,783100797.469
Brazil,General_auto_parts,8708,2024,11933.0,359.0,359.0
Brazil,General_auto_parts,8708,2024,485688386.0,37488365.732,37488365.732
Brazil,General_auto_parts,8708,2024,651844.0,70658.056,70658.056
Brazil,General_auto_parts,8708,2024,7606168943.0,838787864.968,838787864.968
Brazil,General_auto_parts,8708,2024,479450804.0,16530765.266,16530765.266
Brazil,General_auto_parts,8708,2024,8571971910.0,892878013.021,892878013.021
Brazil,General_auto_parts,8708,2025,158.0,22.0,22.0
Brazil,General_auto_parts,8708,2025,1215119.0,119702.988,119702.988
Brazil,General_auto_parts,8708,2025,460702022.0,34019041.697,34019041.697
Brazil,General_auto_parts,8708,2025,1695357.0,48071.058,48071.058
Brazil,General_auto_parts,8708,2025,8162036869.0,900902023.849,900902023.849
Brazil,General_auto_parts,8708,2025,366201505.0,14522639.414,14522639.414
Brazil,General_auto_parts,8708,2025,8991851030.0,949611501.005,949611501.005
Mexico,EV_100pct,870380,2021,1726530.0,84381.461,55.0
Mexico,EV_100pct,870380,2021,423545.0,20700.101,6.0
Mexico,EV_100pct,870380,2021,29201484.0,1427176.984,931.0
Mexico,EV_100pct,870380,2021,51779955.0,2530664.538,1160.0
Mexico,EV_100pct,870380,2021,83131514.0,4062923.085,2152.0
Mexico,EV_100pct,870380,2022,96740161.0,0.0,1817.0
Mexico,EV_100pct,870380,2022,102855538.0,0.0,3234.0
Mexico,EV_100pct,870380,2022,1912485.0,0.0,54.0
Mexico,EV_100pct,870380,2022,201998113.0,0.0,5106.0
Mexico,EV_100pct,870380,2022,489929.0,0.0,1.0
Mexico,EV_100pct,870380,2023,15835712.0,0.0,380.0
Mexico,EV_100pct,870380,2023,387243905.0,0.0,13076.0
Mexico,EV_100pct,870380,2023,84659692.0,0.0,1729.0
Mexico,EV_100pct,870380,2023,487999095.0,0.0,15188.0
Mexico,EV_100pct,870380,2023,259786.0,0.0,3.0
Mexico,EV_100pct,870380,2024,909592688.0,0.0,41416.0
Mexico,EV_100pct,870380,2024,18415097.0,0.0,324.0
Mexico,EV_100pct,870380,2024,1003266.0,0.0,18.0
Mexico,EV_100pct,870380,2024,116780461.0,0.0,2489.0
Mexico,EV_100pct,870380,2024,1045791512.0,0.0,44247.0
Mexico,EV_100pct,870380,2025,1454749183.0,0.0,83362.0
Mexico,EV_100pct,870380,2025,65474039.0,0.0,1109.0
Mexico,EV_100pct,870380,2025,1520419747.0,0.0,84475.0
Mexico,EV_100pct,870380,2025,156516.0,0.0,2.0
Mexico,EV_100pct,870380,2025,40009.0,0.0,2.0
Mexico,Hybrid,870340,2021,184129076.0,11191822.693,6694.0
Mexico,Hybrid,870340,2021,14950909.0,908753.393,726.0
Mexico,Hybrid,870340,2021,275380.0,16738.281,65.0
Mexico,Hybrid,870340,2021,199355365.0,12117314.367,7485.0
Mexico,Hybrid,870340,2022,673590.0,0.0,148.0
Mexico,Hybrid,870340,2022,40813760.0,0.0,2185.0
Mexico,Hybrid,870340,2022,1430957.0,0.0,47.0
Mexico,Hybrid,870340,2022,319350815.0,0.0,11809.0
Mexico,Hybrid,870340,2022,362269122.0,0.0,14189.0
Mexico,Hybrid,870340,2023,760991524.0,0.0,23062.0
Mexico,Hybrid,870340,2023,129517527.0,0.0,5341.0
Mexico,Hybrid,870340,2023,2163615.0,0.0,576.0
Mexico,Hybrid,870340,2023,892672666.0,0.0,28979.0
Mexico,Hybrid,870340,2024,222591038.0,0.0,9102.0
Mexico,Hybrid,870340,2024,1120571388.0,0.0,33195.0
Mexico,Hybrid,870340,2024,2595140.0,0.0,531.0
Mexico,Hybrid,870340,2024,1346691947.0,0.0,42830.0
Mexico,Hybrid,870340,2024,934381.0,0.0,2.0
Mexico,Hybrid,870340,2025,1078075096.0,0.0,31661.0
Mexico,Hybrid,870340,2025,989821920.0,0.0,37990.0
Mexico,Hybrid,870340,2025,4946292.0,0.0,595.0
Mexico,Hybrid,870340,2025,2072945535.0,0.0,70250.0
Mexico,Hybrid,870340,2025,102227.0,0.0,4.0
Mexico,Combustion_pickup,870421,2021,5319658.0,490393.779,162.0
Mexico,Combustion_pickup,870421,2021,21415470.0,1974189.554,878.0
Mexico,Combustion_pickup,870421,2021,5724547.0,527718.555,899.0
Mexico,Combustion_pickup,870421,2021,32459675.0,2992301.888,1939.0
Mexico,Combustion_pickup,870421,2022,5260623.0,0.0,845.0
Mexico,Combustion_pickup,870421,2022,86137885.0,0.0,3891.0
Mexico,Combustion_pickup,870421,2022,711562.0,0.0,12.0
Mexico,Combustion_pickup,870421,2022,33281988.0,0.0,1023.0
Mexico,Combustion_pickup,870421,2022,125392058.0,0.0,5771.0
Mexico,Combustion_pickup,870421,2023,23243587.0,0.0,567.0
Mexico,Combustion_pickup,870421,2023,66099840.0,0.0,2927.0
Mexico,Combustion_pickup,870421,2023,8958803.0,0.0,1013.0
Mexico,Combustion_pickup,870421,2023,98302230.0,0.0,4507.0
Mexico,Combustion_pickup,870421,2024,92150944.0,0.0,4538.0
Mexico,Combustion_pickup,870421,2024,62231461.0,0.0,1571.0
Mexico,Combustion_pickup,870421,2024,10716449.0,0.0,1252.0
Mexico,Combustion_pickup,870421,2024,165098854.0,0.0,7361.0
Mexico,Combustion_pickup,870421,2025,29089751.0,0.0,641.0
Mexico,Combustion_pickup,870421,2025,257560254.0,0.0,10686.0
Mexico,Combustion_pickup,870421,2025,23677758.0,0.0,2888.0
Mexico,Combustion_pickup,870421,2025,310543652.0,0.0,14216.0
Mexico,Combustion_pickup,870421,2025,215889.0,0.0,1.0
Mexico,Lithium_battery,850760,2021,10334555.0,212038.0,0.0
Mexico,Lithium_battery,850760,2021,5603.0,234.947,0.0
Mexico,Lithium_battery,850760,2021,1315783702.0,42271705.884,0.0
Mexico,Lithium_battery,850760,2021,454672124.0,10871810.31,0.0
Mexico,Lithium_battery,850760,2021,22249696.0,258886.06,0.0
Mexico,Lithium_battery,850760,2021,1803045680.0,53614675.201,0.0
Mexico,Lithium_battery,850760,2022,2709750939.0,,0.0
Mexico,Lithium_battery,850760,2022,17580794.0,,0.0
Mexico,Lithium_battery,850760,2022,2313917952.0,,0.0
Mexico,Lithium_battery,850760,2022,31968465.0,,0.0
Mexico,Lithium_battery,850760,2022,165123.0,,0.0
Mexico,Lithium_battery,850760,2022,346118605.0,,0.0
Mexico,Lithium_battery,850760,2023,3896531986.0,,0.0
Mexico,Lithium_battery,850760,2023,24603041.0,,0.0
Mexico,Lithium_battery,850760,2023,908665453.0,,0.0
Mexico,Lithium_battery,850760,2023,192900.0,4031.0,0.0
Mexico,Lithium_battery,850760,2023,21148021.0,452538.0,0.0
Mexico,Lithium_battery,850760,2023,2941922571.0,79968975.0,0.0
Mexico,Lithium_battery,850760,2024,5662720043.0,,0.0
Mexico,Lithium_battery,850760,2024,27032335.0,,0.0
Mexico,Lithium_battery,850760,2024,880.0,4.0,0.0
Mexico,Lithium_battery,850760,2024,141845740.0,3090455.0,0.0
Mexico,Lithium_battery,850760,2024,1840172661.0,50824208.0,0.0
Mexico,Lithium_battery,850760,2024,3653668427.0,143911071.0,0.0
Mexico,Lithium_battery,850760,2025,377073009.0,7521533.0,0.0
Mexico,Lithium_battery,850760,2025,1280709289.0,57589486.0,0.0
Mexico,Lithium_battery,850760,2025,4280154524.0,,0.0
Mexico,Lithium_battery,850760,2025,37218348.0,,0.0
Mexico,Lithium_battery,850760,2025,2585153878.0,,0.0
Mexico,General_auto_parts,8708,2021,26652836.0,0.0,0.0
Mexico,General_auto_parts,8708,2021,2099188935.0,0.0,0.0
Mexico,General_auto_parts,8708,2021,9162163012.0,0.0,0.0
Mexico,General_auto_parts,8708,2021,14131745133.0,0.0,0.0
Mexico,General_auto_parts,8708,2021,541934732.0,0.0,0.0
Mexico,General_auto_parts,8708,2021,25961684648.0,0.0,0.0
Mexico,General_auto_parts,8708,2022,29526235323.0,0.0,0.0
Mexico,General_auto_parts,8708,2022,542447381.0,0.0,0.0
Mexico,General_auto_parts,8708,2022,16164143973.0,0.0,0.0
Mexico,General_auto_parts,8708,2022,10252065369.0,0.0,0.0
Mexico,General_auto_parts,8708,2022,54767901.0,0.0,0.0
Mexico,General_auto_parts,8708,2022,2512810699.0,0.0,0.0
Mexico,General_auto_parts,8708,2023,32423717132.0,0.0,0.0
Mexico,General_auto_parts,8708,2023,621283980.0,0.0,0.0
Mexico,General_auto_parts,8708,2023,18008869311.0,0.0,0.0
Mexico,General_auto_parts,8708,2023,11316890597.0,0.0,0.0
Mexico,General_auto_parts,8708,2023,2426707149.0,0.0,0.0
Mexico,General_auto_parts,8708,2023,49966095.0,0.0,0.0
Mexico,General_auto_parts,8708,2024,34363754741.0,0.0,0.0
Mexico,General_auto_parts,8708,2024,527910165.0,0.0,0.0
Mexico,General_auto_parts,8708,2024,19031157387.0,0.0,0.0
Mexico,General_auto_parts,8708,2024,12368286614.0,0.0,0.0
Mexico,General_auto_parts,8708,2024,2419614984.0,0.0,0.0
Mexico,General_auto_parts,8708,2024,16785591.0,0.0,0.0
Mexico,General_auto_parts,8708,2025,32494717689.0,0.0,0.0
Mexico,General_auto_parts,8708,2025,489480412.0,0.0,0.0
Mexico,General_auto_parts,8708,2025,17281838558.0,0.0,0.0
Mexico,General_auto_parts,8708,2025,12145408270.0,0.0,0.0
Mexico,General_auto_parts,8708,2025,2568430697.0,0.0,0.0
Mexico,General_auto_parts,8708,2025,9559752.0,0.0,1303415.895
Chile,EV_100pct,870380,2021,13100434.375,644142.64,868.0
Chile,EV_100pct,870380,2022,38983457.367,2050503.292,1553.873
Chile,EV_100pct,870380,2023,50484583.792,2584538.348,2012.0
Chile,EV_100pct,870380,2024,149297047.247,8950040.976,6058.735
Chile,EV_100pct,870380,2025,152995326.083,8925562.791,5491.25
Chile,Hybrid,870340,2021,50104322.343,3112388.757,1973.006
Chile,Hybrid,870340,2022,99886347.887,6227197.964,4324.0
Chile,Hybrid,870340,2023,134821942.284,8123816.694,6001.954
Chile,Hybrid,870340,2024,222852871.614,12900772.562,12034.926
Chile,Hybrid,870340,2025,385525639.167,21412736.364,22274.853
Chile,Combustion_pickup,870421,2021,1666067705.617,150043951.127,101349.0
Chile,Combustion_pickup,870421,2022,2020474837.2,176772405.16,117589.011
Chile,Combustion_pickup,870421,2023,1384299134.334,114691843.975,0.0
Chile,Combustion_pickup,870421,2024,1144866436.102,93727609.901,59068.796
Chile,Combustion_pickup,870421,2025,1436193735.425,106280285.938,76277.491
Chile,Lithium_battery,850760,2021,42447717.582,678242.669,2217772.905
Chile,Lithium_battery,850760,2022,67684130.674,1138268.321,3120867.77
Chile,Lithium_battery,850760,2023,61387570.433,1071373.108,1164004.26
Chile,Lithium_battery,850760,2024,77824253.76,1520323.147,2871908.67
Chile,Lithium_battery,850760,2025,252041535.752,6046354.802,3121618.766
Chile,General_auto_parts,8708,2021,748943885.063,123013302.549,123013302.549
Chile,General_auto_parts,8708,2022,864411463.632,93789883.136,93789883.136
Chile,General_auto_parts,8708,2023,633860187.815,59819681.883,59819681.883
Chile,General_auto_parts,8708,2024,675994527.783,154460240.224,154460240.224
Chile,General_auto_parts,8708,2025,774965959.22,86633362.625,86633362.625
Colombia,EV_100pct,870380,2021,3516517.22,155690.0,90.0
Colombia,EV_100pct,870380,2021,433734.69,14967.91,18.0
Colombia,EV_100pct,870380,2021,11756643.68,713777.21,488.0
Colombia,EV_100pct,870380,2021,701789.68,24250.73,13.0
Colombia,EV_100pct,870380,2021,1661025.21,104762.93,65.0
Colombia,EV_100pct,870380,2021,1062249.87,50400.0,32.0
Colombia,EV_100pct,870380,2021,4134293.11,291703.47,371.0
Colombia,EV_100pct,870380,2021,1261395.33,59850.0,38.0
Colombia,EV_100pct,870380,2021,5177542.43,260452.93,155.0
Colombia,EV_100pct,870380,2021,15890936.79,1005480.68,859.0
Colombia,EV_100pct,870380,2021,1135524.37,39218.64,31.0
